PROPOSED_ACTION|GROUP|GROUP_LABEL|DEBTOR_CODE|ERP_NAME|ERP_GROUP|ERP_REP|ERP_AREA|BOTTLES|NET_REV_ZAR|QUEUE_ROWS|PROPOSED_CANONICAL_NAME
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|UNDE0002|BONDED Under the Influence|Local - Non-Trade|Werner Briedenhann|Local - Western Cape|4650|595686|44|BONDED Under the Influence
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|WINEWI01|Winewise CC|Local - Liquor Stores|Head Office|Local - Western Cape|6146|472365|123|Winewise CC
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|CUISI001|Cuisino (Pty) Ltd|Local - Restaurants|Sandile Yende|Local - Gauteng|548|443771|69|Cuisino (Pty) Ltd
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|FANC0001|Plattner Golf(Pty)Ltd Fancourt|Local - Hotels & Guest Houses|Jane Simon|Local - Garden Route / ECape|4218|395445|117|Plattner Golf(Pty)Ltd Fancourt
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|WINEOF01|Wine of the Month Club|Local - Non-Trade|Sergio King|Local - Western Cape|2160|378067|67|Wine of the Month Club
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|JOHN0003|Johnnys Liquor Hypermarket Sch|Local - Liquor Stores|Moya Fourie|Local - Gauteng|1656|295253|87|Johnnys Liquor Hypermarket Sch
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|BARK0001|Bar Keeper (Pty) Ltd|Local - Restaurants|Sergio King|Local - Western Cape|2171|260807|82|Bar Keeper (Pty) Ltd
CREATE_CANONICAL|LIQUOR_CITY|Liquor City franchise location|LIQ C JA|Liquor City Jan Smuts|Local - Liquor Stores|Koliswa Jayiya|Local - Gauteng|1321|244089|83|Liquor City Jan Smuts
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|THAN0001|Thanda Private Game Reserve|Local - Hotels & Guest Houses|Kelsey KZN|Local - Kwazulu Natal|2760|234936|32|Thanda Private Game Reserve
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|WINEGL01|The Wine Glass Stellenbosch|Local - Restaurants|Nathalie Watkins|Local - Western Cape|1152|219923|153|The Wine Glass Stellenbosch
CREATE_CANONICAL|PICARDI|Picardi Rebel chain store|PICARD11|Picardi Rebel Waterfront Drive|Local - Chain Stores|Nathalie Watkins|Local - Garden Route / ECape|2884|213636|30|Picardi Rebel Waterfront Drive
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|SEAP0001|Sea Point Spar|Local - Chain Stores|Sergio King|Local - Western Cape|1471|203940|224|Sea Point Spar
CREATE_CANONICAL|PRESTONS|Prestons Liquor chain (Garden Route)|PREST008|Prestons Main Road Walmer|Local - Liquor Stores|Jane Simon|Local - Garden Route / ECape|1268|197623|51|Prestons Main Road Walmer
CREATE_CANONICAL|TOPS|Tops franchise location|TOPS0004|Tops- Cape Quarter Foods|Local - Liquor Stores|Sergio King|Local - Western Cape|2340|190772|50|Tops- Cape Quarter Foods
CREATE_CANONICAL|INDEPENDENT|Named independent venue or business|WINESO01|The Wine Society|Local - Non-Trade|Nathalie Watkins|Local - Western Cape|2118|182592|10|The Wine Society
